tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_electrode_dropout,2,hard,signal,9300,15000,IsolationForest,0.9558,0.1004,0.9415,0.9902,0.9653,1.614,0.9602,0.9203,True,0.559547,9209,5128,572,91
ecg_electrode_dropout,2,hard,signal,9300,15000,Autoencoder,0.9243,0.1889,0.8956,0.9938,0.9421,1.128,0.9617,0.9212,True,0.574157,9242,4623,1077,58
ecg_electrode_dropout,2,hard,signal,9300,15000,LOF,0.9183,0.21,0.8857,0.9969,0.938,0.408,0.956,0.9173,True,1.472817,9271,4503,1197,29
ecg_emg_burst,1,easy,signal,1800,15000,ZScore,0.7785,0.2273,0.3299,0.8206,0.4706,0.0,0.9243,0.838,True,2081314285.714151,1477,10200,3000,323
ecg_emg_burst,1,easy,signal,1800,15000,RobustRollingZScore,0.9032,0.0203,0.6968,0.3422,0.459,1.517,0.6542,0.4572,True,1099520.796612,616,12932,268,1184
ecg_emg_burst,1,easy,signal,1800,15000,IsolationForest,0.9269,0.083,0.6215,0.9989,0.7662,0.039,0.9951,0.9215,True,0.559547,1798,12105,1095,2
ecg_emg_burst,1,easy,signal,1800,15000,Autoencoder,0.8268,0.1968,0.4093,1.0,0.5808,0.0,0.9996,0.9974,True,0.574157,1800,10602,2598,0
ecg_emg_burst,1,easy,signal,1800,15000,LOF,0.7417,0.2935,0.3172,1.0,0.4817,0.0,0.9973,0.9764,True,1.472817,1800,9326,3874,0
ecg_emg_burst,2,easy,signal,1800,15000,ZScore,0.7789,0.2339,0.3373,0.8733,0.4867,0.272,0.9294,0.8177,True,2081314285.714151,1572,10112,3088,228
ecg_emg_burst,2,easy,signal,1800,15000,RobustRollingZScore,0.8984,0.0214,0.6643,0.31,0.4227,0.622,0.6335,0.4095,True,1099520.796612,558,12918,282,1242
ecg_emg_burst,2,easy,signal,1800,15000,IsolationForest,0.9294,0.08,0.6299,0.9983,0.7724,0.0,0.9962,0.9284,True,0.559547,1797,12144,1056,3
ecg_emg_burst,2,easy,signal,1800,15000,Autoencoder,0.8529,0.1671,0.4493,1.0,0.62,0.0,0.9981,0.9781,True,0.574157,1800,10994,2206,0
ecg_emg_burst,2,easy,signal,1800,15000,LOF,0.7921,0.2362,0.366,1.0,0.5359,0.0,0.9982,0.9837,True,1.472817,1800,10082,3118,0
ecg_emg_burst,1,medium,signal,5700,15000,ZScore,0.7861,0.2161,0.6913,0.7898,0.7373,0.0,0.9088,0.8845,True,2081314285.714151,4502,7290,2010,1198
ecg_emg_burst,1,medium,signal,5700,15000,RobustRollingZScore,0.7254,0.02,0.9048,0.31,0.4618,0.233,0.6276,0.6442,True,1099520.796612,1767,9114,186,3933
ecg_emg_burst,1,medium,signal,5700,15000,IsolationForest,0.9313,0.1102,0.8474,0.9989,0.917,0.058,0.992,0.9624,True,0.559547,5694,8275,1025,6
ecg_emg_burst,1,medium,signal,5700,15000,Autoencoder,0.8563,0.2317,0.7257,1.0,0.841,0.0,0.996,0.9883,True,0.574157,5700,7145,2155,0
ecg_emg_burst,1,medium,signal,5700,15000,LOF,0.8021,0.3191,0.6576,1.0,0.7934,0.0,0.9944,0.9876,True,1.472817,5700,6332,2968,0
ecg_emg_burst,2,medium,signal,5700,15000,ZScore,0.7928,0.2358,0.6857,0.8395,0.7549,0.0,0.9223,0.8866,True,2081314285.714151,4785,7107,2193,915
ecg_emg_burst,2,medium,signal,5700,15000,RobustRollingZScore,0.7143,0.0233,0.8826,0.2863,0.4324,0.0,0.6202,0.6206,True,1099520.796612,1632,9083,217,4068
ecg_emg_burst,2,medium,signal,5700,15000,IsolationForest,0.9329,0.1078,0.8503,0.9993,0.9188,0.019,0.9912,0.9612,True,0.559547,5696,8297,1003,4
ecg_emg_burst,2,medium,signal,5700,15000,Autoencoder,0.8409,0.2567,0.7048,1.0,0.8269,0.0,0.9954,0.9879,True,0.574157,5700,6913,2387,0
ecg_emg_burst,2,medium,signal,5700,15000,LOF,0.7493,0.4042,0.6026,0.9998,0.7519,0.019,0.9929,0.9837,True,1.472817,5699,5541,3759,1
